Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,0.632730,0.635930,0.632730,0.632700,0.632700,0
2018-07-10,0.635340,0.636850,0.634500,0.635370,0.635370,0
2018-07-11,0.632270,0.633050,0.629700,0.632040,0.632040,0
2018-07-12,0.630770,0.634520,0.630500,0.630820,0.630820,0
2018-07-13,0.634800,0.636270,0.633980,0.634870,0.634870,0
2018-07-16,0.635000,0.636070,0.633100,0.635200,0.635200,0
2018-07-17,0.633030,0.634670,0.631700,0.633160,0.633160,0
2018-07-18,0.633000,0.634820,0.631660,0.632900,0.632900,0
2018-07-19,0.635200,0.638440,0.631400,0.635280,0.635280,0
2018-07-20,0.631690,0.633420,0.629360,0.631660,0.631660,0
2018-07-23,0.632990,0.633120,0.630240,0.632970,0.632970,0
2018-07-24,0.631040,0.634920,0.630130,0.631000,0.631000,0
2018-07-25,0.635400,0.636140,0.632610,0.635450,0.635450,0
2018-07-26,0.635440,0.635630,0.632590,0.635370,0.635370,0
2018-07-27,0.633920,0.636040,0.633250,0.633710,0.633710,0
2018-07-30,0.634540,0.634970,0.632000,0.634600,0.634600,0
2018-07-31,0.632760,0.635540,0.632170,0.632610,0.632610,0
2018-08-01,0.634560,0.634990,0.633200,0.634640,0.634640,0
2018-08-02,0.634880,0.635460,0.633200,0.634850,0.634850,0
2018-08-03,0.635190,0.638840,0.634800,0.635000,0.635000,0
2018-08-06,0.639520,0.640320,0.638600,0.639550,0.639550,0
2018-08-07,0.638800,0.641770,0.638800,0.638950,0.638950,0
2018-08-08,0.639890,0.640380,0.637970,0.639800,0.639800,0
2018-08-09,0.639610,0.641400,0.638960,0.639500,0.639500,0
2018-08-10,0.639670,0.640440,0.636700,0.639710,0.639710,0
2018-08-13,0.639300,0.639720,0.637300,0.639400,0.639400,0
2018-08-14,0.637230,0.638170,0.635740,0.637200,0.637200,0
2018-08-15,0.637600,0.638900,0.636000,0.637700,0.637700,0
2018-08-16,0.637550,0.639660,0.637100,0.637550,0.637550,0
2018-08-17,0.638340,0.639280,0.637600,0.638290,0.638290,0
2018-08-20,0.638800,0.640810,0.638200,0.638900,0.638900,0
2018-08-21,0.638500,0.638930,0.637300,0.638300,0.638300,0
2018-08-22,0.635890,0.635930,0.632970,0.635760,0.635760,0
2018-08-23,0.632800,0.632900,0.627630,0.632930,0.632930,0
2018-08-24,0.627560,0.631470,0.627060,0.627300,0.627300,0
2018-08-27,0.630510,0.630700,0.628900,0.630390,0.630390,0
2018-08-28,0.629020,0.629020,0.626700,0.628920,0.628920,0
2018-08-29,0.628050,0.628350,0.622910,0.627850,0.627850,0
2018-08-30,0.624320,0.625440,0.622050,0.624370,0.624370,0
2018-08-31,0.622460,0.622480,0.619500,0.622490,0.622490,0
2018-09-03,0.619770,0.621940,0.618300,0.619860,0.619860,0
2018-09-04,0.620470,0.623260,0.619190,0.620510,0.620510,0
2018-09-05,0.620020,0.622150,0.617360,0.619900,0.619900,0
2018-09-06,0.618390,0.619870,0.616460,0.618420,0.618420,0
2018-09-07,0.618710,0.618850,0.613960,0.618760,0.618760,0
2018-09-10,0.615370,0.616130,0.613220,0.615360,0.615360,0
2018-09-11,0.613110,0.614100,0.611440,0.613170,0.613170,0
2018-09-12,0.613000,0.616550,0.611860,0.613140,0.613140,0
2018-09-13,0.616720,0.619500,0.615360,0.616700,0.616700,0
2018-09-14,0.614710,0.616120,0.614020,0.614740,0.614740,0
2018-09-17,0.614300,0.615810,0.614110,0.614530,0.614530,0
2018-09-18,0.612250,0.617460,0.612200,0.612200,0.612200,0
2018-09-19,0.618570,0.622510,0.618400,0.618610,0.618610,0
2018-09-20,0.621790,0.622370,0.618380,0.621740,0.621740,0
2018-09-21,0.618730,0.620070,0.618100,0.618660,0.618660,0
2018-09-24,0.619300,0.619720,0.615740,0.619200,0.619200,0
2018-09-25,0.617010,0.617770,0.615230,0.616900,0.616900,0
2018-09-26,0.616160,0.619000,0.616020,0.616190,0.616190,0
2018-09-27,0.617550,0.618980,0.616800,0.617710,0.617710,0
2018-09-28,0.619000,0.623660,0.618900,0.619060,0.619060,0
2018-10-01,0.622340,0.624450,0.621330,0.622400,0.622400,0
2018-10-02,0.624260,0.625360,0.621750,0.624100,0.624100,0
